등급,과목,구분 점수,인원(명),비율(퍼센트)
5,베트남어 Ⅰ,25,24,4.89
6,베트남어 Ⅰ,20,50,10.18
7,베트남어 Ⅰ,15,102,20.77
8,베트남어 Ⅰ,10,154,31.36
9,베트남어 Ⅰ,10미만,68,13.85
1,한문 Ⅰ,45,448,3.38
2,한문 Ⅰ,40,1209,9.12
3,한문 Ⅰ,35,2117,15.97
4,한문 Ⅰ,30,2618,19.75
5,한문 Ⅰ,25,2594,19.57
6,한문 Ⅰ,20,2150,16.22
7,한문 Ⅰ,15,1318,9.94
8,한문 Ⅰ,10,620,4.68
9,한문 Ⅰ,10미만,181,1.37
