등급,과목,구분 점수,인원(명),비율(퍼센트)
7,아랍어 Ⅰ,15,83,31.44
8,아랍어 Ⅰ,10,68,25.76
9,아랍어 Ⅰ,10미만,23,8.71
1,베트남어 Ⅰ,45,18,17.82
2,베트남어 Ⅰ,40,6,5.94
3,베트남어 Ⅰ,35,14,13.86
4,베트남어 Ⅰ,30,6,5.94
5,베트남어 Ⅰ,25,11,10.89
6,베트남어 Ⅰ,20,14,13.86
7,베트남어 Ⅰ,15,13,12.87
8,베트남어 Ⅰ,10,16,15.84
9,베트남어 Ⅰ,10미만,3,2.97
1,한문 Ⅰ,45,104,7.39
2,한문 Ⅰ,40,166,11.79
3,한문 Ⅰ,35,234,16.62
4,한문 Ⅰ,30,290,20.6
5,한문 Ⅰ,25,256,18.18
6,한문 Ⅰ,20,181,12.86
7,한문 Ⅰ,15,76,5.4
8,한문 Ⅰ,10,72,5.11
9,한문 Ⅰ,10미만,29,2.06
